"Rows from: TestRun","Company Name","domain","LinkedIn Company URL Linkedin Company Url","Employee Count","Percent Employee Growth Over Last_6Months","Product Features","Pricing Plan Summary Result","Industry","Description","Sales Contact Email Sales Contact","Enterprise Sales Rep LinkedIn URL Linkedin Profile Url"
,"AWS","aws.training","https://www.linkedin.com/showcase/aws-training-&-certification/",,,"AWS offers over 200 cloud-based products and services, including compute, storage, databases, networking, data lakes and analytics, machine learning, AI (including generative AI), and Internet of Things. Key features include robust security services, AWS Network Firewall, Amazon MemoryDB for Redis, AWS Panorama, Amazon Elastic Inference, AWS Security Hub, Amazon Q Developer Code Reviewer, AWS Elemental MediaTailor, Amazon OpenSearch Service, AWS Service Catalog, and AWS Marketplace. AWS also provides extensive training and certification programs.","I wasn't able to retrieve specific pricing plan options from AWS's pricing pages directly. AWS Skill Builder offers subscriptions, game-based learning, and self-paced labs, but specific plan details like names, key offerings, and costs were not available from the webpages I accessed. For accurate details, it's suggested to visit the AWS Training and Certification website or contact their customer service for updated information.","Diversified Consumer Services","AWS (Amazon Web Services) is a leading cloud computing platform that offers a wide range of services including computing power, storage, databases, machine learning, and more. AWS training and certification programs provide individuals and organization...","https://aws.amazon.com/contact-us/sales-support/","https://www.linkedin.com/in/chi-fu-43a793b2"
,"Vercel","vercel.com","https://www.linkedin.com/company/vercel",703,,"Vercel offers a platform for building and deploying on the AI Cloud, providing developer tools and cloud infrastructure. Key features include: Git-connected deploys, collaborative preview deployments, route-aware observability, Vercel AI Gateway for accessing AI models, instant rollbacks, and global edge infrastructure. It also offers templates for various frameworks and AI apps. Third-party reviews highlight its exceptional developer experience, zero-configuration deployments, automatic preview deployments, seamless integration with frameworks like Next.js, global edge network for performance, automatic image optimization, and serverless/edge functions. Vercel Analytics provides privacy-friendly, real-time performance data. Recent developments include a focus on AI with the AI Cloud, partnerships with xAI, and the introduction of AI Gateway. Other features include Vercel BotID for endpoint protection, GrowthBook integration for feature flags and A/B testing, and new pricing for Fluid compute.","- Hobby Plan: Automatic CI/CD, Web Application Firewall, Global CDN, Fluid compute, DDoS Mitigation, Traffic & performance insights, Free.
- Pro Plan: Everything in Hobby Plan plus 10x more included usage, Observability tools, Faster builds, Cold start prevention, Advanced WAF Protection, Email support, $20/month + additional usage.
- Enterprise Plan: Everything in Pro Plan plus Guest & Team access controls, SCIM & Directory Sync, Managed WAF Rulesets, Multi-region compute & failover, 99.99% SLA, Advanced Support, Customized pricing.","Software Development","Vercel provides the developer tools and cloud infrastructure to build, scale, and secure a faster, more personalized web. Customers like Under Armour, Nintendo, The Washington Post, and Zapier use Vercel to build dynamic user experiences on the web.","https://vercel.com/contact/sales","https://www.linkedin.com/in/christopher-bartolotta"
,"Alteryx","alteryx.com","https://www.linkedin.com/company/alteryx",2320,2.27,"Alteryx offers the Alteryx One Platform, an AI and analytics platform with the following key capabilities:

Data Preparation and Blending: Cleansing, preparing, enriching, and blending data from multiple sources into unified datasets.
Analytics and Insights: Predictive analytics, machine learning, statistical modeling, automated insights, data storytelling, generative AI, AutoML, spatial analytics, and PDF data extraction.
Automation and Workflow Management: Automating and scaling analytics workflows through scheduling and orchestration.
Collaboration and Reporting: Enabling teams to share data insights, analytic apps, and workflows, with integration for BI tools like Tableau and Power BI.
AI Readiness and Governance: Making data AI-ready through the AI Data Clearinghouse, with a multi-layered governance framework.
Accessibility: A drag-and-drop interface and integration with over 80 data sources.","- Starter Edition, Essential drag-and-drop data preparation, Code-free data analytics workflows, Share workflows, Connect to file sources (.csv, .xlsx, json), Deployed in the cloud, $250 USD user/month (billed annually).
- Professional Edition, Includes Starter Edition features, Cloud and desktop applications flexibility, Advanced data prep & blend (Macros, Geospatial), AI Copilot, Automated insights, Cloud reporting, Connect to 100+ data sources (e.g. Snowflake, Databricks), Contact Sales.
- Enterprise Edition, Includes Professional Edition features, Automated & API-triggered workflow scheduling & monitoring, Enterprise level governance (SDLC, custom roles, audit log integrations, SCIM), Build analytics applications, Free viewer licenses, Contact Sales.","Software Development","Alteryx One brings together everything you need to access, prepare, analyze, and act on data. Apply AI and generate instant insights in a governed and flexible platform.","sales@alteryx.com","https://www.linkedin.com/in/ginafarinich"
,"Expensify","expensify.com","https://www.linkedin.com/company/expensify",210,-6.23,"Expensify offers an all-in-one expense management platform with core features including automated expense tracking, submission, approval, and reimbursement; AI-powered categorization and policy violation flagging; digital receipt capture with SmartScan OCR technology; automatic expense report generation and accounting software integration; budgeting tools; the Expensify Visa Commercial Card; virtual cards; global reimbursements; bill pay; in-app travel booking; customizable travel and expense rules; a mobile-first design; and 24/7 chat support. Third-party reviews highlight its ease of use and integrations, while some users mention occasional SmartScan inaccuracies and potential customer support delays.","- Free (Individuals): Up to 25 SmartScans monthly, no cost.
- Collect: Expense management and reimbursement, $5 per user per month without Expensify Card.
- Control: Full feature access including global reimbursements and integrations, $9 per user per month without Expensify Card.","Software Development","Expensify helps more than 12 million people around the world track expenses, reimburse employees, manage corporate cards, send invoices, pay bills, and book travel. All in one app. So whether you're working for yourself, running a small business, managing a team, or closing the books for your clients, let Expensify handle your spend so you can stay focused on success.","sales@expensify.com","https://www.linkedin.com/in/caitlin-white-28b6b3136"
,"Pluralsight","pluralsight.com","https://www.linkedin.com/company/pluralsight",2252,-2.7,"Pluralsight is an online education platform focused on technology skills for individuals and businesses. Its core product features include:

*   Extensive Course Library: Over 6,500 tech courses across AI, Data, Software Development, Cloud & IT Ops, and Security.
*   Hands-on Labs: More than 3,500 interactive labs and sandboxes for practical skill application.
*   Skill Assessments (Skill IQ): Over 500 assessments to gauge skill levels and identify learning gaps, enabling customized learning paths.
*   Learning Paths & Channels: Structured content to develop specific skills or align with business objectives.
*   Expert Instructors: Courses led by experienced professionals (91% with 10+ years of experience).
*   Target Audience: Serves individuals, software development teams, IT operations teams, and security teams.
*   AI Assistant (Iris): Provides in-platform guidance to enhance learning engagement.

User reviews generally praise the high-quality, relevant content and the practical application offered through hands-on labs and skill tracking. Some users noted that content can become outdated, and navigation or integration with acquired services could be improved.","- Core Tech Plan, Over 3,900 courses in software development, IT operations, product & UX, business skills, $30.00/month or $21.00/month when billed yearly
- Complete Plan, Access to over 6,500 courses including AI, data, cloud, and security, $55.00/month or $39.00/month when billed yearly
- AI+ Plan, AI learning content including Core Tech offerings, $35.00/month or $24.50/month when billed yearly
- Cloud+ Plan, All A Cloud Guru courses including Core Tech offerings, $35.00/month or $24.50/month when billed yearly
- Data+ Plan, Over 1,400 data science courses including Core Tech offerings, $35.00/month or $24.50/month when billed yearly
- Security+ Plan, Cybersecurity learning content including Core Tech offerings, $35.00/month or $24.50/month when billed yearly
- Flow Core Plan, No offerings data, $38/user/month (billed annually)
- Flow Plus Plan, No offerings data, $50/user/month (billed annually)","E-Learning Providers","Hi there! We’re inspiring and empowering the technology workforce to achieve their goals. And we're here to give you and your tech teams the skills and insights to thrive.","sales@pluralsight.com","https://www.linkedin.com/in/tyson-blackner-88160b12"
,"Apollo.io","apollo.io","No LinkedIn company page found",,,"Apollo.io is an AI-powered outbound sales platform with the following core features:

**Lead Generation and Prospecting:**
*   B2B Prospecting Data (200M+ contacts, 35M+ companies)
*   Pipeline Builder for finding prospects and booking meetings
*   Data Enrichment (CRM, Waterfall, CSV, API) to keep data up-to-date
*   Advanced Search Filters for precise audience targeting

**Sales Engagement and Outreach:**
*   Multichannel Outreach tools
*   AI Assistants for automating and personalizing sales processes
*   Call Assistant (recording, scheduling, AI insights)
*   Meeting Scheduler
*   Automated Meeting Follow-up
*   Workflow Automation for repetitive sales tasks
*   Chrome Extension for in-browser prospecting and outreach

**Go-To-Market Platform:**
*   Unified platform for managing the entire sales cycle
*   Deal Management

**Target Audience:** Sales Leaders, Account Executives, SDRs, Revenue Operations, Marketers, Founders. Used by over 500,000 businesses.

**Standout Functionalities:** AI-powered engine, all-in-one platform replacing multiple tools, user-friendly interface, and generally good data quality.","- ""Pricing information not available"": The pricing information from Apollo.io's pricing page could not be retrieved as the content was not visible through the webpage scraping method.","Custom Computer Programming Services","Apollo.io is the only AI sales tool you need to sell, scale, and succeed","contact@apollo.io","https://www.linkedin.com/in/michaelbuscemi"
,"Calendly","calendly.com","https://www.linkedin.com/company/calendly",556,-14.47,"Calendly's core product features include scheduling automation with various event types, calendar integration, availability management, automated reminders, meeting polls, one-off meetings, and managed events. It also offers integrations with video conferencing, CRM, workflow tools, payment processing, and browser extensions. Additional features include routing and qualification, customization and branding, and analytics and security.","- Free, Basic tools including one event type and unlimited meetings, free.
- Standard, More features with unlimited event types, $10 per seat per month (billed annually).
- Teams, For team scheduling and advanced tools, tiered pricing starting at $16 per seat per month.
- Enterprise, Full control and support options, custom pricing.","Software Development","At Calendly, our vision is to take the work out of connecting with others so you can accomplish more. 

Our scheduling automation platform helps individuals, teams, and organizations globally automate meetings by removing the back and forth with scheduling. Our platform enables companies to close deals, hire candidates, build relationships, and grow their business — faster. 

More than 20 million users across 230 countries use Calendly to simplify meetings and collaborate more effectively and efficiently.","https://calendly.com/contact-us","https://www.linkedin.com/in/rachel-williams-3bb85422"
,"BambooHR","bamboohr.com","https://www.linkedin.com/company/bamboohr",1735,3.45,"BambooHR's core features include Hiring & Onboarding, HR Data & Reporting, Payroll & Time management, Benefits Administration, Employee Experience & Performance, and Compensation Management. It is used by over 34,000 businesses and is praised for its user-friendly interface, ease of use, and ability to centralize HR data. Standout functionalities include its integrated HR ecosystem with over 150 integrations, embedded AI for HR assistance, and a unified data model for better decision-making.","- Core Plan: Foundational HR automation for smaller HR teams, cost varies per-employee for companies over 25 employees; flat rate for 25 or fewer.
- Pro Plan: Complete, flexible HR platform for scaling companies, cost varies per-employee for companies over 25 employees; flat rate for 25 or fewer.
- Payroll Add-on: Includes Direct Deposit, Flexible Pay Schedules, Tax Filing, available for US employees, pricing is additional.
- Benefits Administration Add-on: Offers Self-Guided Configuration, Open Enrollment, available for US employees, pricing is additional.
- Time Tracking Add-on: Features Mobile & Desktop Clock, Project Tracking, pricing is additional.","Human Resources Services","For 16 years, BambooHR has embarked on a mission to help organizations and their employees build better workplaces and achieve their unique missions. We call it “setting people free to do great work.” We believe one of the best ways to do this is by transforming workplace friction into workplace freedom by replacing tedious processes with intuitive experiences and turning dispersed data into strategic insights that inform better decisions.

Serving more than 34,000 customers and 3 million employees across 190 countries, BambooHR is more than just HR software—it’s a complete HR ecosystem designed to manage, protect, enrich, report on, extend, and benchmark people data in a way that drives business goals and smarter decision making. Our vision is to become the #1 HR platform for small and medium-sized businesses (SMBs) around the world, and we empower organizations at every stage to make the most impact. We are proud to serve clients across all industries ranging from startups to household names such as Bitcoin.com, Quora, Le Creuset, MasterClass, and the New York City Ballet.

To find out more, visit bamboohr.com or follow us on Twitter @bamboohr.

For Customer Support, please reach out to support@bamboohr.com.","expansion@bamboohr.com","https://www.linkedin.com/in/geoffrey-geo-huntington-212b7713"
,"Cloudflare","cloudflare.com","https://www.linkedin.com/company/cloudflare",5575,10.46,"Cloudflare's core product features are categorized into:

1.  **External-Facing Infrastructure:** Secures, enhances performance, and improves reliability for websites, applications, and APIs. Key features include Security (DDoS Protection, WAF, Bot Management, API Shield, Browser Isolation, DNS Firewall), Performance (CDN, Argo Smart Routing, Image Resizing, Always Online™, Browser Insights), and Reliability (Anycast Network, Load Balancing, Healthchecks).
2.  **Internal Infrastructure:** A secure, fast, and reliable network-as-a-service for corporate networks, including On-ramps (Magic Transit, Magic WAN) and Filters (Magic Firewall, Cloudflare Gateway, Zero Trust Network Access).
3.  **Developer-based Solutions:** Serverless platform (Workers) for building scalable applications, featuring Workers Bundled, Workers KV, and Workers Unbound.
4.  **Consumer Offerings:** Products for individuals to enhance Internet performance and security.

Cloudflare's platform boasts a composable architecture, seamless integration, vast intelligence from processing ~20% of web traffic, a unified interface, privacy-first principles, and compliance with data locality regulations.","- **Free Plan**: Basic access controls, community forum support, zero cost, best for small teams up to 50 users with zero trust network access, secure web gateway, activity logging for up to 24 hours, cost: $0 forever.
- **Pay As You Go Plan**: Includes all Free Plan features plus enhanced support with email and chat, 100% uptime SLA, activity logging for up to 30 days, additional key features like CASB in-line, optional Remote Browser Isolation, unlimited users, cost: $7/user/month.
- **Contract (Enterprise) Plan**: Offers maximum custom support with advanced security controls, priority support via phone, email, chat with 1-hour response, unlimited users, 100% uptime SLA, extended activity logging for 6 months, advanced features such as Remote Browser Isolation and Data Loss Prevention, cost: custom annual price per user.","Computer and Network Security","Cloudflare, Inc. (NYSE: NET) is the leading connectivity cloud company. It empowers organizations to make their employees, applications and networks faster and more secure everywhere, while reducing complexity and cost. Cloudflare’s connectivity cloud delivers the most full-featured, unified platform of cloud-native products and developer tools, so any organization can gain the control they need to work, develop, and accelerate their business. 

Powered by one of the world’s largest and most interconnected networks, Cloudflare blocks billions of threats online for its customers every day. It is trusted by millions of organizations – from the largest brands to entrepreneurs and small businesses to nonprofits, humanitarian groups, and governments across the globe.","sales@cloudflare.com","https://www.linkedin.com/in/normslaught"
,"Rippling","rippling.com","https://www.linkedin.com/company/rippling",5420,37.5,"Rippling offers a unified platform for managing HR, IT, payroll, and spend management, built on its Employee Graph data platform. Key features include Human Capital Management (HCM) with HRIS, recruiting, and learning management; Payroll with US and global options; IT Management with identity and device management; Spend Management with expense tracking; and platform capabilities like workflow automation and integrations.","I'm unable to retrieve details about Rippling's pricing plans from their website, as they do not provide specific plan names, offerings, or costs directly on the pricing pages or the related links. Usually, such details might require contacting the company directly for a personalized quote or demo.","Software Development","Rippling is a workforce management system that eliminates the friction from running a business. Today, most companies struggle with everything from routine tasks, like running payroll, to cross-functional planning, like aligning on headcount. That’s because all their data related to people, processes, and systems is scattered in a hundred places. 

Rippling has every application you need to run your business—from applicant tracking and payroll to IT and expenses—in one place. But unlike other systems, Rippling sits on top of a unified platform. Data flows dynamically between Rippling’s applications, giving every team a shared source of truth, the power to automate processes, and access to the insights they need. This allows your business to execute better, faster.

Based in San Francisco, CA, Rippling has raised $1.2B from the world’s top investors—including Kleiner Perkins, Founders Fund, Sequoia, Greenoaks, and Bedrock.

Get help: rippling.com/contact
Licensing details: https://app.rippling.com/licensing","sales@rippling.com","https://www.linkedin.com/in/andrew-workman-030a5b160"
